Rank,PLAYER,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI
1,Al Harrington,Was,PF,33,7,8.3,17,18,0.181,7,0.714,8,0.75,7,0,0.47,2.4,2.3,16,0,0,0.57,0,0
2,Al Jefferson,Cha,PF,29,3,35.2,73.3,25.4,0.018,5,0.8,53,0.491,0,0,0.507,18.7,9.3,16.7,0.7,4.2,0.33,1.67,5.6
3,Alan Anderson,Bro,SF,31,12,21.6,44.9,15.1,0.125,18,0.667,31,0.516,31,0.29,0.508,5.9,2.7,7.8,1.3,9.2,0.83,0,5.1
4,Amir Johnson,Tor,PF,26,7,27.1,56.6,17.1,0.173,12,0.75,50,0.68,2,0,0.672,11,6,13.5,1,7.3,0.43,0.57,6
5,Andray Blatche,Bro,PF,27,12,14.1,29.5,23.4,0.123,30,0.833,56,0.464,2,0,0.541,6.4,5,22.3,0.3,4.1,0.5,0.17,6
6,Andre Iguodala,Gol,SF,30,7,35.3,73.5,16.8,0.215,33,0.606,47,0.511,15,0.533,0.601,13.1,4.7,7.7,4.4,18.8,1.29,0.29,7.3
7,Andre Miller,Was,SG,37,11,9.6,19.9,23.6,0.151,9,0.556,38,0.474,3,0.333,0.489,4,1,6,0.8,16,0.18,0,6.1
8,Andrei Kirilenko,Bro,PF,32,10,14.3,29.7,8.7,0.118,17,0.647,15,0.467,0,0,0.556,2.5,2.3,10.2,1,10.4,1,0.3,5
9,Anthony Tolliver,Cha,PF,28,4,5,10.4,7.9,0,3,1,0,0,2,0.5,0.904,1.5,1,12.5,0.3,7.6,0,0,6.1
10,Aron Baynes,San,C,27,14,7,14.4,16.8,0.198,10,0.8,23,0.522,1,0,0.563,2.3,2.2,18.6,0,0,0.21,0,0
11,Austin Daye,San,SF,25,1,5.5,10.4,16.8,0,0,0,2,0,0,0,0,0,1,10.6,0,0,0,0,0
12,Beno Udrih,Mem,SG,31,7,16.3,32,24.1,0.151,13,0.692,33,0.515,12,0.333,0.542,7.9,1.7,5.9,1.7,19.6,0.43,0,7
13,Bismack Biyombo,Cha,C,21,3,15.9,33.2,7.6,0,6,0.333,5,0.6,0,0,0.524,2.7,3.7,14.5,0.3,3.3,0,0.67,3.6
14,Blake Griffin,Lac,PF,24,13,36.5,76.1,28.2,0.101,96,0.74,227,0.511,8,0.125,0.552,23.5,7.5,11.7,3.8,18,1.23,1.08,9.6
