Rank	PLAYER	TEAM	POS	AGE	GP	MPG	MIN%	USG%	TOr	FTA	FT%	2PA	2P%	3PA	3P%	TS%	PPG	RPG	TRB%	APG	AST%	SPG	BPG	VI
1	Al Horford	Atl	C	29	10	32.7	68.2	19.2	0.121	16	0.938	87	0.494	29	0.379	0.545	13.4	6.5	10.7	3	15.5	1.2	2.4	7.8
2	Al Jefferson	Cha	C	31	7	24.1	50.1	26.8	0.063	13	0.692	83	0.506	0	0	0.524	13.3	6.1	14.6	1.1	11.5	0.57	0.43	7.4
3	Al-Farouq Aminu	Por	SF	25	11	33.8	70.4	18.6	0.13	29	0.724	58	0.483	70	0.4	0.572	14.6	8.6	13.1	1.8	8.8	0.73	0.91	7.2
4	Allen Crabbe	Por	SG	23	11	27.5	57.2	12.4	0.069	19	0.737	38	0.605	35	0.429	0.645	9.5	2.9	5.4	1.4	7.8	0.64	0.09	4.9
5	Amar’e Stoudemire	Mia	C	33	9	9.1	19.1	18.2	0.286	8	1	19	0.579	0	0	0.666	3.3	1.4	9.3	0	0	0.56	0.33	0
6	Amir Johnson	Bos	PF	28	6	22.3	46.4	15.1	0.213	9	0.778	31	0.71	2	0	0.69	8.5	7.2	16.8	0.7	5.6	0.17	1.33	6.3
7	Anderson Varejao	Gol	C	33	17	5.5	11.4	11.5	0.082	19	0.526	14	0.357	0	0	0.447	1.2	1.2	12.2	0.8	18.6	0.12	0.12	7.6
8	Andre Drummond	Det	C	22	4	32.9	68.4	27.9	0.055	34	0.324	53	0.528	1	0	0.486	16.8	9	16.7	0	0	0.25	1.5	0
9	Andre Iguodala	Gol	SF	32	24	32	66.6	12.1	0.108	57	0.561	99	0.535	65	0.385	0.563	8.9	4.4	7.4	3.8	16.6	1.21	0.42	6.6
10	Andre Miller	San	PG	39	4	8.8	18.4	10.4	0	2	1	4	0.5	3	0.333	0.571	2.3	1.3	8.2	1.8	27.5	0	0	8
11	Andre Roberson	Okc	SG	24	18	26.2	54.6	9.7	0.104	20	0.4	49	0.571	37	0.324	0.527	5.6	5.6	12	0.8	4.2	1.28	1.06	4.5
12	Andrew Bogut	Gol	C	31	22	16.6	34.6	12.3	0.186	14	0.357	75	0.64	2	0	0.607	4.6	5.6	18.4	1.4	12.1	0.64	1.59	8
13	Andrew Goudelock	Hou	PG	27	2	5.7	11.9	32.5	0.333	0	0	5	0.6	1	0	0.5	3	1	9.3	0	0	0	0	0
14	Anthony Morrow	Okc	SG	30	14	5.4	11.4	18.4	0.123	10	1	10	0.6	14	0.357	0.651	2.6	0.1	1.5	0.1	2	0.07	0	2.2
15	Anthony Tolliver	Det	PF	30	3	8.7	18.2	7.7	0	0	0	2	1	2	0	0.5	1.3	1.3	9.3	0.3	5.7	0	0.33	3.7
16	Aron Baynes	Det	C	29	4	11	22.9	15.2	0.225	3	0.667	9	0.444	0	0	0.484	2.5	2	11.1	0.5	6.9	0	0	4.9
17	Austin Rivers	Lac	SG	23	6	24	49.9	22.3	0.097	9	0.667	44	0.5	17	0.235	0.477	10.3	2.7	5.5	2.7	18.8	0.5	0	7
18	Avery Bradley	Bos	SG	25	1	33.2	69.1	23.8	0.055	3	1	9	0.667	7	0.143	0.52	18	3	4.7	1	6.1	1	1	4.6
19	Bismack Biyombo	Tor	C	23	20	25.3	52.7	11.2	0.173	72	0.597	69	0.58	0	0	0.611	6.2	9.4	22.2	0.4	2.5	0.4	1.35	4.5
20	Blake Griffin	Lac	PF	26	4	31.7	66.1	25.7	0.123	25	0.76	51	0.373	2	0.5	0.469	15	8.8	13.6	4	20.4	0.75	0.5	10.2
21	Boban Marjanovic	San	C	27	7	6	12.5	21.1	0.158	9	0.889	12	0.667	0	0	0.752	3.4	2	19.3	0.4	11.6	0	0.29	9.3
22	Boris Diaw	San	PF	33	9	17.6	36.7	15.8	0.112	4	0.75	40	0.475	6	0.333	0.492	5.2	2.1	6.9	2.3	19.7	0.22	0.44	6.7
23	Brandon Rush	Gol	SG	30	14	7.9	16.4	9.1	0.087	2	0.5	8	0.625	12	0.333	0.551	1.6	1.6	11.3	0.2	3.8	0.14	0.14	4.1
24	Cameron Payne	Okc	PG	21	10	6.4	13.4	24.2	0.224	4	0.5	16	0.313	10	0.2	0.324	1.8	0.4	3.5	0.8	18.1	0.2	0.2	5.2
25	Channing Frye	Cle	PF	32	17	14	29.1	15	0.065	7	0.857	23	0.652	46	0.565	0.791	6.7	2.4	10.2	0.3	3.4	0.35	0.53	4.8
26	Charlie Villanueva	Dal	PF	31	4	5.1	10.6	31.6	0.072	2	1	7	0.286	5	0.2	0.349	2.3	0.5	5.7	0.3	8.3	0	0	5.5
27	Chris Andersen	Mem	C	37	4	19.7	41	12	0.244	8	0.625	12	0.417	0	0	0.483	3.8	7.8	22.8	0.8	6.3	0.5	0.75	5.8
28	Chris Kaman	Por	C	33	4	8.1	16.9	31.7	0.25	0	0	18	0.389	0	0	0.389	3.5	2	12.7	0.3	5.6	0.5	0	6.3
29	Chris Paul	Lac	PG	30	4	31.3	65.3	30.8	0.046	15	1	56	0.554	20	0.3	0.575	23.8	4	6.3	7.3	48.3	2.25	0	11.3
30	CJ McCollum	Por	SG	24	11	40.2	83.8	22.9	0.084	46	0.804	139	0.46	58	0.345	0.518	20.5	3.6	4.6	3.3	14.1	0.91	0.45	6.2
31	CJ Miles	Ind	SF	28	7	13.1	27.4	22.1	0.071	3	0.667	18	0.444	20	0.1	0.305	3.4	3.4	15	0.6	7.5	0.14	0.14	5.8
32	Clint Capela	Hou	C	21	5	8.7	18	13.5	0.211	5	0.4	9	0.333	0	0	0.357	1.6	4	24.4	0.4	7.5	0.6	0.4	6.3
33	Cody Zeller	Cha	C	23	7	19.6	40.9	18.8	0.129	21	0.81	38	0.553	0	0	0.624	8.4	5.3	15.4	0.3	2.9	0.14	0.43	4.8
34	Cole Aldrich	Lac	C	27	6	12.8	26.7	11.4	0.102	6	0.5	15	0.667	0	0	0.652	3.8	5	19.3	0.5	6.1	1	0.5	6.6
